video_id,url_video,titre,description,transcription,date_publication,jour_semaine,vues,likes,commentaires,duree,ratio_likes_vues,ratio_commentaires_vues,performance_globale,type_activite,domaine
_00pxBhYCxw,https://www.youtube.com/watch?v=_00pxBhYCxw,MESSAGE DE VŒUX DES DÉPUTES DE LA NEUVIÈME LÉGISLATURE,,,2023-12-31,Dimanche,275,2,0,175,0.73,0.0,0.36,autre,Affaires parlementaires
oROyWkJkIYM,https://www.youtube.com/watch?v=oROyWkJkIYM,MESSAGE DE VOEUX DU CAUCUS DES FEMMES PARLEMNTAIRES,,,2023-12-31,Dimanche,323,2,0,114,0.62,0.0,0.31,Réunion de travail,Égalité et condition féminine
e_gIAImJAuE,https://www.youtube.com/watch?v=e_gIAImJAuE,MESSAGE DE VŒUX DU DIRECTEUR DE CABINET DU PRESIDENT  DE L'ASSEMBLEE NATIONALE,,,2023-12-31,Dimanche,173,4,1,164,2.31,0.58,1.45,autre,Affaires parlementaires
BKQz5sImrNY,https://www.youtube.com/watch?v=BKQz5sImrNY,MESSAGE DE VŒUX DU SECRÉTAIRE GÉNÉRAL ADMINISTRATIF DE L’ASSEMBLÉE NATIONALE,,,2023-12-31,Dimanche,136,3,1,187,2.21,0.74,1.48,autre,Affaires parlementaires
MtHf7bkyRTc,https://www.youtube.com/watch?v=MtHf7bkyRTc,MESSAGE DE VŒUX DES DIRECTEURS DE L'ADMIINISTRATION PARLEMENTAIRE,,,2024-01-01,Lundi,232,1,1,193,0.43,0.43,0.43,autre,Affaires parlementaires
-_34n0HkxwM,https://www.youtube.com/watch?v=-_34n0HkxwM,MESSAGE DE VOEUX DES  HUISSIERS PARLEMENTAIRES,,,2024-01-01,Lundi,308,7,2,84,2.27,0.65,1.46,autre,Affaires parlementaires
Vav7H2W4i5Q,https://www.youtube.com/watch?v=Vav7H2W4i5Q,MESSAGE DE VŒUX DU PRÉSIDENT DE L'ASSEMBLÉE NATIONALE DU BÉNIN,,,2023-12-31,Dimanche,1112,6,0,203,0.54,0.0,0.27,Réunion de travail,Affaires parlementaires
s5rvWFH-ayE,https://www.youtube.com/watch?v=s5rvWFH-ayE,LOI SUR LA CHEFFERIE TRADITIONNELLE AU BENIN: LES DEPUTES JUSTIFIENT LEURS CHOIX.,,,2025-03-17,Lundi,8803,54,3,259,0.61,0.03,0.32,Séance Pléniere,Justice et droit
daE7Gymoy0E,https://www.youtube.com/watch?v=daE7Gymoy0E,ETUDE/LA LOI SUR LA CHEFFERIE TRADITIONNELLE: ORDEN ALLADATIN EXPLIQUE LA DEMARCHE DE LA COMMISSION.,,,2025-03-17,Lundi,530,3,0,205,0.57,0.0,0.28,Séance Pléniere,Justice et droit
LxXx45q0MDo,https://www.youtube.com/watch?v=LxXx45q0MDo,COUR SUPRÊME ET COUR DES COMPTES: LES LOIS PORTANT STATUT DES MAGISTRATS MODIFIEES.,,,2025-03-14,Vendredi,417,4,0,185,0.96,0.0,0.48,Séance Pléniere,Justice et droit
RTtXqudNqWA,https://www.youtube.com/watch?v=RTtXqudNqWA,LOI MODIFICATIVE DU CODE DE PROCDURE PENALE: LES DEPUTES JOUENT LEUR PARTITION EN ADOPTANT LE TEXTE.,,,2025-03-14,Vendredi,696,3,2,231,0.43,0.29,0.36,Séance Pléniere,Justice et droit
S0ZGt_S403Q,https://www.youtube.com/watch?v=S0ZGt_S403Q,"LE FA, LA GNOSE AJE ET LA MECANIQUE QUANTIQUE INTEGRALE",,,2025-01-07,Mardi,12823,229,25,12483,1.79,0.19,0.99,Conférence publique,autre
5qfCpGKhdc4,https://www.youtube.com/watch?v=5qfCpGKhdc4,INTEGRALITE DU MESSAGE DU PRESIDENT DE LA REPUBLIQUE SUR L'ETAT DE LA NATION.,,,2024-12-20,Vendredi,62216,468,47,2527,0.75,0.08,0.41,autre,Affaires parlementaires
0PxBfzrV3fE,https://www.youtube.com/watch?v=0PxBfzrV3fE,BUDGET DE L'ASSEMBLEE NATIONALE: PLUS DE 29 MILLIARDS DE FRANCS CFA POUR 2025.,,,2024-09-30,Lundi,789,6,0,236,0.76,0.0,0.38,Audition,Finances publiques
_Z9GcYOfR3c,https://www.youtube.com/watch?v=_Z9GcYOfR3c,CONSEIL ECONOMIQUE ET SOCIAL: L'ASSEMBLEE NATIONALE DESIGNE LES NOUVEAUX  MEMBRES.,,,2024-09-30,Lundi,2213,7,0,155,0.32,0.0,0.16,autre,Affaires parlementaires
8xAQzsEol0s,https://www.youtube.com/watch?v=8xAQzsEol0s,TROISIEME SESSION EXTRAORDINAIRE 2024: OUVERTURE ET AFFECTATIONS DES DOSSIERS AUX COMMISSIONS .,,,2024-09-11,Mercredi,354,7,0,178,1.98,0.0,0.99,autre,Affaires parlementaires
